dataset,budget,method,codec,component,bytes,MiB,relative_to_r_rlzsa_percent
SARS-Cov-2_40,25,r-RLZSA,raw,Other(serialized),2302328,2.196,
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,block_ids,10269,0.010,25.07
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,SR,373459,0.356,63.83
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,offsets,122904,0.117,100.00
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,PT,240309,0.229,100.00
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,CPL,292522,0.279,100.00
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,LP,376192,0.359,100.00
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,reference,2646516,2.524,100.00
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,Phi_fallback,1322759,1.261,100.00
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,Other(serialized),2302350,2.196,
SARS-Cov-2_40,25,Vr-RLZSA-v2,v2,block_ids,10269,0.010,25.07
SARS-Cov-2_40,25,Vr-RLZSA-v2,v2,SR,373459,0.356,63.83
SARS-Cov-2_40,25,Vr-RLZSA-v2,v2,offsets,30946,0.030,25.18
SARS-Cov-2_40,25,Vr-RLZSA-v2,v2,PT,30039,0.029,12.50
SARS-Cov-2_40,25,Vr-RLZSA-v2,v2,CPL,168712,0.161,57.67
SARS-Cov-2_40,25,Vr-RLZSA-v2,v2,LP,376192,0.359,100.00
SARS-Cov-2_40,25,Vr-RLZSA-v2,v2,reference,2646516,2.524,100.00
SARS-Cov-2_40,25,Vr-RLZSA-v2,v2,Phi_fallback,1322759,1.261,100.00
SARS-Cov-2_40,25,Vr-RLZSA-v2,v2,Other(serialized),2302390,2.196,
SARS-Cov-2_40,12.5,r-RLZSA,raw,block_ids,20484,0.020,100.00
SARS-Cov-2_40,12.5,r-RLZSA,raw,SR,338452,0.323,100.00
SARS-Cov-2_40,12.5,r-RLZSA,raw,offsets,61464,0.059,100.00
SARS-Cov-2_40,12.5,r-RLZSA,raw,PT,131062,0.125,100.00
